Date,Open,High,Low,Close,Adj Close,Volume
2006-09-30,2.150000,2.197500,2.087500,2.155000,2.155000,155240404
2006-10-31,2.160000,2.440000,2.100000,2.407500,2.407500,245475424
2006-11-30,2.407500,2.585000,2.377500,2.532500,2.532500,173289140
2006-12-31,2.532500,2.585000,2.432500,2.475000,2.475000,212105174
2007-01-31,2.492500,2.667500,2.482500,2.550000,2.550000,171577370
2007-02-28,2.540000,2.710000,2.432500,2.700000,2.700000,175824469
2007-03-31,2.715000,2.985000,2.665000,2.885000,2.885000,164137214
2007-04-30,2.885000,2.910000,2.757500,2.845000,2.845000,165131048
2007-05-31,2.862500,3.040000,2.715000,2.727500,2.727500,370276718
2007-06-30,2.725000,2.730000,2.375000,2.447500,2.447500,195110348
2007-07-31,2.405000,2.677500,2.257500,2.672500,2.672500,257786480
2007-08-31,2.680000,2.702500,2.500000,2.625000,2.625000,178152881
2007-09-30,2.612500,2.920000,2.612500,2.905000,2.905000,231291761
2007-10-31,2.905000,2.980000,2.790000,2.870000,2.870000,216172231
2007-11-30,2.870000,3.145000,2.842500,3.137500,3.137500,198602200
2007-12-31,3.137500,3.167500,2.425000,2.685000,2.685000,330327908
2008-01-31,2.695000,2.800000,2.645000,2.680000,2.680000,219385460
2008-02-29,2.650000,2.680000,2.120000,2.327500,2.327500,225910916
2008-03-31,2.340000,2.480000,2.210000,2.365000,2.365000,226402521
2008-04-30,2.365000,2.610000,2.322500,2.610000,2.610000,297931238
2008-05-31,2.605000,2.657500,2.200000,2.327500,2.327500,397985717
2008-06-30,2.325000,2.385000,2.180000,2.320000,2.320000,218923476
2008-07-31,2.320000,2.335000,2.022500,2.135000,2.135000,163396538
2008-08-31,2.135000,2.167500,1.703000,1.796000,1.796000,202200882
2008-09-30,1.811000,1.840000,1.290000,1.425000,1.425000,222033355
2008-10-31,1.450000,1.730000,1.350000,1.372000,1.372000,120804923
2008-11-30,1.380000,1.397000,1.176000,1.271000,1.271000,106550055
2008-12-31,1.271000,1.465000,1.200000,1.360000,1.360000,121340748
2009-01-31,1.338000,1.516000,1.128000,1.140000,1.140000,168001636
2009-02-28,1.110000,1.300000,0.931000,1.143000,1.143000,221378453
2009-03-31,1.155000,1.274000,1.092000,1.252000,1.252000,255081488
2009-04-30,1.252000,1.396000,1.163000,1.323000,1.323000,376477166
2009-05-31,1.342000,1.398000,1.208000,1.299000,1.299000,468727399
2009-06-30,1.296000,1.332000,1.108000,1.278000,1.278000,230742572
2009-07-31,1.276000,1.379000,1.211000,1.350000,1.350000,202689123
2009-08-31,1.364000,1.432000,1.299000,1.343000,1.343000,231601381
2009-09-30,1.341000,1.388000,1.219000,1.257000,1.257000,216666425
2009-10-31,1.250000,1.317000,1.223000,1.297000,1.297000,155882292
2009-11-30,1.301000,1.480000,1.301000,1.466000,1.466000,215415717
2009-12-31,1.477000,1.480000,1.355000,1.375000,1.375000,170857732
2010-01-31,1.372000,1.408000,1.243000,1.269000,1.269000,208028294
2010-02-28,1.261300,1.414000,1.259000,1.389000,1.389000,194468433
2010-03-31,1.395000,1.415000,1.260000,1.275000,1.275000,170260699
2010-04-30,1.277000,1.301000,1.104000,1.208000,1.208000,248602730
2010-05-31,1.212000,1.315000,1.105000,1.125000,1.125000,450617942
2010-06-30,1.117000,1.193000,1.100000,1.151000,1.151000,165452178
2010-07-31,1.156000,1.187000,1.056000,1.102000,1.102000,196221775
2010-08-31,1.105000,1.155000,1.087000,1.125000,1.125000,166846479
2010-09-30,1.126000,1.173000,1.098000,1.171000,1.171000,131320348
2010-10-31,1.172000,1.182000,0.987000,0.987000,0.987000,166418430
2010-11-30,0.991000,1.090000,0.988500,1.029000,1.029000,191316852
2010-12-31,1.039000,1.107000,1.000000,1.085000,1.085000,208862950
2011-01-31,1.091000,1.171000,1.091000,1.160000,1.160000,205785408
2011-02-28,1.161000,1.170000,1.080000,1.143000,1.143000,235755895
2011-03-31,1.144000,1.247000,1.134000,1.219000,1.219000,190788486
2011-04-30,1.222000,1.240000,1.112000,1.176000,1.176000,212288153
2011-05-31,1.184000,1.197000,1.010000,1.074000,1.074000,255720038
2011-06-30,1.075000,1.092000,0.940000,0.999500,0.999500,196814376
2011-07-31,1.009000,1.018000,0.833500,0.964000,0.964000,218244508
2011-08-31,0.965000,0.976000,0.808000,0.936500,0.936500,161684644
2011-09-30,0.918000,1.038000,0.900500,0.990000,0.990000,143325351
2011-10-31,0.975000,0.983000,0.705000,0.776500,0.776500,239432540
2011-11-30,0.777000,0.787000,0.684500,0.726500,0.726500,180936993
2011-12-31,0.728500,0.769000,0.682000,0.727500,0.727500,171843542
2012-01-31,0.731500,0.800000,0.729500,0.755500,0.755500,182120163
2012-02-29,0.718000,0.757000,0.588000,0.601500,0.601500,323506050
2012-03-31,0.601500,0.601500,0.440000,0.479600,0.479600,461359432
2012-04-30,0.479600,0.587500,0.420400,0.501000,0.501000,631520145
2012-05-31,0.502500,0.505000,0.385200,0.422600,0.422600,593562867
2012-06-30,0.422300,0.430000,0.286100,0.340600,0.340600,410325036
2012-07-31,0.340600,0.429700,0.310100,0.423200,0.423200,777157403
2012-08-31,0.423000,0.484800,0.385100,0.385100,0.385100,678011599
2012-09-30,0.385300,0.442000,0.379000,0.379400,0.379400,432943225
2012-10-31,0.376900,0.425000,0.361000,0.419300,0.419300,511429897
2012-11-30,0.419300,0.441700,0.379100,0.437300,0.437300,398876008
2012-12-31,0.437300,0.510000,0.437300,0.492900,0.492900,846356373
2013-01-31,0.492900,0.496200,0.404000,0.412300,0.412300,644037975
2013-02-28,0.410200,0.500000,0.387500,0.463300,0.463300,545328226
2013-03-31,0.463300,0.615000,0.457400,0.597000,0.597000,483889097
2013-04-30,0.597000,0.664000,0.597000,0.653500,0.653500,448127862
2013-05-31,0.651000,0.678500,0.549500,0.571500,0.571500,288718341
2013-06-30,0.572000,0.668000,0.558000,0.652500,0.652500,263998295
2013-07-31,0.655500,0.716500,0.634000,0.658000,0.658000,215681245
2013-08-31,0.661000,0.763000,0.627500,0.722000,0.722000,270759882
