Date,Open,High,Low,Close,Adj Close,Volume
2006-09-30,4.860720,5.267340,4.795290,5.005610,5.005610,1032910340
2006-10-31,5.014960,5.234620,4.954200,4.986910,4.986910,918470639
2006-11-30,5.010280,5.468310,4.912130,5.468310,5.468310,1240458659
2006-12-31,5.468310,5.627220,5.243970,5.407550,5.407550,2090989604
2007-01-31,5.458960,5.463640,5.141150,5.145820,5.145820,1417610049
2007-02-28,5.150500,5.510380,4.879420,5.314080,5.314080,2187958996
2007-03-31,5.300060,5.804820,5.262670,5.776780,5.776780,1671759821
2007-04-30,5.776780,5.865580,5.225280,5.300060,5.300060,4292209704
2007-05-31,5.309400,5.374840,5.066370,5.169190,5.169190,1790230934
2007-06-30,5.155170,5.281360,4.930830,5.220600,5.220600,1654425523
2007-07-31,5.108430,5.407550,5.010280,5.169190,5.169190,1942155945
2007-08-31,5.197230,5.234620,4.799960,5.061690,5.061690,1547356552
2007-09-30,5.038320,5.300060,4.851370,5.103760,5.103760,2208545863
2007-10-31,5.127130,5.131800,4.725180,5.094410,5.094410,1744156082
2007-11-30,5.066370,5.164520,4.916810,5.057020,5.057020,1042777216
2007-12-31,5.057020,5.061690,4.140960,4.442420,4.442420,1895049102
2008-01-31,4.470460,4.531220,4.070850,4.159660,4.159660,1358874934
2008-02-29,4.131610,4.257810,3.701630,4.173680,4.173680,1516096723
2008-03-31,4.136290,4.580300,4.136290,4.489160,4.489160,1172544779
2008-04-30,4.489160,4.570950,3.820810,3.939990,3.939990,3967440949
2008-05-31,3.925970,3.930640,3.295010,3.390820,3.390820,1421820105
2008-06-30,3.353430,3.524020,3.070670,3.386150,3.386150,1941567915
2008-07-31,3.362780,3.713310,3.133760,3.432880,3.432880,1316654886
2008-08-31,3.411850,3.827820,3.187510,3.594130,3.594130,2499640603
2008-09-30,3.411850,3.703960,2.000370,2.657040,2.657040,2534767254
2008-10-31,2.710790,3.026270,1.883530,2.206020,2.206020,1892078456
2008-11-30,2.166290,2.406990,1.962980,2.371940,2.371940,1237883737
2008-12-31,2.371940,2.607960,1.932600,2.311180,2.311180,1548015384
2009-01-31,2.266780,2.350910,1.590950,1.809680,1.809680,1405291376
2009-02-28,1.733970,2.093850,1.217050,1.937280,1.937280,2070158364
2009-03-31,1.897550,2.283140,1.826510,2.278460,2.278460,1517189186
2009-04-30,2.278460,2.502800,2.082160,2.343900,2.343900,1286800763
2009-05-31,2.383620,2.470090,2.068140,2.145260,2.145260,1195537251
2009-06-30,2.149930,2.465410,1.965320,2.442050,2.442050,1231069368
2009-07-31,2.449060,2.935130,2.423350,2.825290,2.825290,1621244223
2009-08-31,2.858010,2.921110,2.610300,2.825290,2.825290,1738280951
2009-09-30,2.808940,3.002900,2.659380,2.687420,2.687420,1816190939
2009-10-31,2.696770,3.318380,2.561230,2.696770,2.696770,1532456548
2009-11-30,2.708450,2.993550,2.708450,2.944480,2.944480,1098200783
2009-12-31,2.942140,3.016920,2.547210,2.596280,2.596280,1324561436
2010-01-31,2.565900,2.694430,2.355580,2.414000,2.414000,1590472769
2010-02-28,2.446720,2.792580,2.409330,2.577580,2.577580,1589431531
2010-03-31,2.591610,2.734160,2.285470,2.334550,2.334550,1677819858
2010-04-30,2.325200,2.348570,1.817160,2.030750,2.030750,5461848172
2010-05-31,2.019070,2.322860,1.776970,2.042440,2.042440,3112944097
2010-06-30,2.000370,2.460740,1.951300,2.374280,2.374280,2315095158
2010-07-31,2.383620,2.477100,2.021410,2.070480,2.070480,1872418122
2010-08-31,2.079830,2.336890,2.051790,2.227050,2.227050,2124537377
2010-09-30,2.236400,2.521500,2.142920,2.362590,2.362590,1774332333
2010-10-31,2.371940,2.376610,1.850810,1.874180,1.874180,2595861087
2010-11-30,1.890540,2.082160,1.869510,1.897550,1.897550,2202522876
2010-12-31,1.913910,2.292480,1.767620,2.271450,2.271450,3766666838
2011-01-31,2.297160,2.421010,2.181720,2.284540,2.284540,2812232777
2011-02-28,2.303230,2.325670,1.918120,1.951770,1.951770,3783768528
2011-03-31,1.953640,2.176110,1.873250,2.095720,2.095720,3087195152
2011-04-30,2.110670,2.120020,1.654000,1.803000,1.803000,4600654898
2011-05-31,1.804000,1.884000,1.654000,1.836000,1.836000,4289208305
2011-06-30,1.836000,1.922000,1.414000,1.616000,1.616000,5257830243
2011-07-31,1.684000,1.684000,1.065000,1.134000,1.134000,5664328490
2011-08-31,1.140000,1.254000,0.853000,1.190000,1.190000,4779960142
2011-09-30,1.150000,1.446000,1.095000,1.291000,1.291000,4041107753
2011-10-31,1.240000,1.350000,1.053000,1.228000,1.228000,4737850974
2011-11-30,1.238000,1.390000,1.173000,1.294000,1.294000,3885552761
2011-12-31,1.290000,1.511000,1.093000,1.460000,1.460000,3903570928
2012-01-31,1.468000,1.650000,1.418000,1.461000,1.461000,3071747002
2012-02-29,1.456000,1.585000,1.311000,1.344000,1.344000,3476148772
2012-03-31,1.357000,1.357000,1.060000,1.143000,1.143000,3516432889
2012-04-30,1.143000,1.173000,0.942000,1.003000,1.003000,3910430398
2012-05-31,1.007000,1.154000,0.954500,1.118000,1.118000,5212424362
2012-06-30,1.120000,1.139000,0.853500,1.033000,1.033000,3566950386
2012-07-31,1.030000,1.284000,0.929000,1.250000,1.250000,2931483614
2012-08-31,1.250000,1.402000,1.183000,1.183000,1.183000,3533573505
2012-09-30,1.179000,1.369000,1.177000,1.239000,1.239000,3623470875
2012-10-31,1.235000,1.308000,1.182000,1.294000,1.294000,2692837835
2012-11-30,1.299000,1.357000,1.188000,1.300000,1.300000,2646088195
2012-12-31,1.300000,1.542000,1.300000,1.502000,1.502000,4251522052
2013-01-31,1.499000,1.514000,1.190000,1.243000,1.243000,3112062242
2013-02-28,1.233000,1.294000,1.088000,1.142000,1.142000,3360393672
2013-03-31,1.142000,1.415000,1.117000,1.377000,1.377000,3393201121
2013-04-30,1.377000,1.485000,1.334000,1.459000,1.459000,3099657755
2013-05-31,1.441000,1.457000,1.192000,1.231000,1.231000,2804072249
2013-06-30,1.239000,1.434000,1.172000,1.426000,1.426000,2386539020
2013-07-31,1.433000,1.617000,1.394000,1.485000,1.485000,2815275558
2013-08-31,1.506000,1.719000,1.484000,1.525000,1.525000,3165223000
2013-09-30,1.612000,1.863000,1.534000,1.831000,1.831000,3928093823
2013-10-31,1.827000,1.860000,1.675000,1.780000,1.780000,2459938265
2013-11-30,1.787000,1.800000,1.631000,1.794000,1.794000,1641311310
2013-12-31,1.794000,2.024000,1.781000,2.010000,2.010000,3196514701
2014-01-31,2.016000,2.248000,1.947000,2.246000,2.246000,2402826410
2014-02-28,2.190000,2.482000,2.134000,2.460000,2.460000,2781724759
2014-03-31,2.484000,2.588000,2.300000,2.460000,2.460000,2657240778
